symbol,company_name,exchange_suffix,yahoo_ticker,status,notes
CHOLAFIN,Cholamandalam Investment and Finance Co Ltd,.NS,CHOLAFIN.NS,active,
CIPLA,Cipla Ltd,.NS,CIPLA.NS,active,
COALINDIA,Coal India Ltd,.NS,COALINDIA.NS,active,
DABUR,Dabur India Ltd,.NS,DABUR.NS,active,
DIVISLAB,Divi's Laboratories Ltd,.NS,DIVISLAB.NS,active,
DLF,DLF Ltd,.NS,DLF.NS,active,
DMART,Avenue Supermarts Ltd (DMart),.NS,DMART.NS,active,
DRREDDY,Dr Reddy's Laboratories Ltd,.NS,DRREDDY.NS,active,
EICHERMOT,Eicher Motors Ltd,.NS,EICHERMOT.NS,active,
ESCORTS,Escorts Kubota Ltd,.NS,ESCORTS.NS,active,
ETERNAL,Eternal Ltd (formerly Zomato),.NS,ETERNAL.NS,active,Renamed from ZOMATO
GAIL,GAIL (India) Ltd,.NS,GAIL.NS,active,
GODREJCP,Godrej Consumer Products Ltd,.NS,GODREJCP.NS,active,
GRASIM,Grasim Industries Ltd,.NS,GRASIM.NS,active,
HAL,Hindustan Aeronautics Ltd,.NS,HAL.NS,active,
HAVELLS,Havells India Ltd,.NS,HAVELLS.NS,active,
HCLTECH,HCL Technologies Ltd,.NS,HCLTECH.NS,active,
HDFCBANK,HDFC Bank Ltd,.NS,HDFCBANK.NS,active,
HDFCLIFE,HDFC Life Insurance Co Ltd,.NS,HDFCLIFE.NS,active,
HEROMOTOCO,Hero MotoCorp Ltd,.NS,HEROMOTOCO.NS,active,
HINDALCO,Hindalco Industries Ltd,.NS,HINDALCO.NS,active,
HINDUNILVR,Hindustan Unilever Ltd,.NS,HINDUNILVR.NS,active,
HUDCO,Housing & Urban Development Corporation Ltd,.NS,HUDCO.NS,active,
ICICIBANK,ICICI Bank Ltd,.NS,ICICIBANK.NS,active,
IDEA,Vodafone Idea Ltd,.NS,IDEA.NS,active,
INDHOTEL,Indian Hotels Company Ltd,.NS,INDHOTEL.NS,active,
INDIGO,InterGlobe Aviation Ltd (IndiGo),.NS,INDIGO.NS,active,
INDUSINDBK,IndusInd Bank Ltd,.NS,INDUSINDBK.NS,active,
INFY,Infosys Ltd,.NS,INFY.NS,active,
IOC,Indian Oil Corporation Ltd,.NS,IOC.NS,active,
IRFC,Indian Railway Finance Corporation Ltd,.NS,IRFC.NS,active,
ITC,ITC Ltd,.NS,ITC.NS,active,
JINDALSTEL,Jindal Steel & Power Ltd,.NS,JINDALSTEL.NS,active,
JSWENERGY,JSW Energy Ltd,.NS,JSWENERGY.NS,active,
JSWSTEEL,JSW Steel Ltd,.NS,JSWSTEEL.NS,active,
KOTAKBANK,Kotak Mahindra Bank Ltd,.NS,KOTAKBANK.NS,active,
LT,Larsen & Toubro Ltd,.NS,LT.NS,active,
LICI,Life Insurance Corporation of India,.NS,LICI.NS,active,Short history (listed May 2022)
LODHA,Macrotech Developers Ltd (Lodha),.NS,LODHA.NS,active,
M&M,Mahindra & Mahindra Ltd,.NS,M&M.NS,active,
MARUTI,Maruti Suzuki India Ltd,.NS,MARUTI.NS,active,
MAXHEALTH,Max Healthcare Institute Ltd,.NS,MAXHEALTH.NS,active,
MOTHERSON,Samvardhana Motherson International Ltd,.NS,MOTHERSON.NS,active,
NAUKRI,Info Edge (India) Ltd (Naukri),.NS,NAUKRI.NS,active,
NESTLEIND,Nestle India Ltd,.NS,NESTLEIND.NS,active,
NTPC,NTPC Ltd,.NS,NTPC.NS,active,
ONGC,Oil and Natural Gas Corporation Ltd,.NS,ONGC.NS,active,
PFC,Power Finance Corporation Ltd,.NS,PFC.NS,active,
PIDILITIND,Pidilite Industries Ltd,.NS,PIDILITIND.NS,active,
PNB,Punjab National Bank,.NS,PNB.NS,active,
POWERGRID,Power Grid Corporation of India Ltd,.NS,POWERGRID.NS,active,
RECLTD,REC Ltd,.NS,RECLTD.NS,active,
RELIANCE,Reliance Industries Ltd,.NS,RELIANCE.NS,active,
SBILIFE,SBI Life Insurance Co Ltd,.NS,SBILIFE.NS,active,
SHREECEM,Shree Cement Ltd,.NS,SHREECEM.NS,active,
SHRIRAMFIN,Shriram Finance Ltd,.NS,SHRIRAMFIN.NS,active,
SIEMENS,Siemens Ltd,.NS,SIEMENS.NS,active,
SUNPHARMA,Sun Pharmaceutical Industries Ltd,.NS,SUNPHARMA.NS,active,
SWIGGY,Swiggy Ltd,.NS,SWIGGY.NS,active,Short history (listed Nov 2024)
TATACHEM,Tata Chemicals Ltd,.NS,TATACHEM.NS,active,
TATACONSUM,Tata Consumer Products Ltd,.NS,TATACONSUM.NS,active,
TATAMOTORS,"Tata Motors Ltd (demerged Oct 2025)",.NS,TATAMOTORS.NS,inactive,Delisted after demerger; successor TMPV.NS has unadjusted -40% gap on 2025-10-14 that auto_adjust does not fix
TMPV,Tata Motors Passenger Vehicles Ltd,.NS,TMPV.NS,inactive,Successor of TATAMOTORS; excluded from downloads due to demerger price gap on 2025-10-14
TATAPOWER,Tata Power Company Ltd,.NS,TATAPOWER.NS,active,
TATASTEEL,Tata Steel Ltd,.NS,TATASTEEL.NS,active,
TCS,Tata Consultancy Services Ltd,.NS,TCS.NS,active,
TECHM,Tech Mahindra Ltd,.NS,TECHM.NS,active,
TITAN,Titan Company Ltd,.NS,TITAN.NS,active,
TORNTPHARM,Torrent Pharmaceuticals Ltd,.NS,TORNTPHARM.NS,active,
TRENT,Trent Ltd,.NS,TRENT.NS,active,
TVSMOTOR,TVS Motor Company Ltd,.NS,TVSMOTOR.NS,active,
ULTRACEMCO,UltraTech Cement Ltd,.NS,ULTRACEMCO.NS,active,
UNITDSPR,United Spirits Ltd,.NS,UNITDSPR.NS,active,
VBL,Varun Beverages Ltd,.NS,VBL.NS,active,
VEDL,Vedanta Ltd,.NS,VEDL.NS,active,Caution: corporate-action artifact row (-64.9% on 2026-04-30) in Yahoo data; pipeline clips |return| > 50%
WIPRO,Wipro Ltd,.NS,WIPRO.NS,active,
ZYDUSLIFE,Zydus Lifesciences Ltd,.NS,ZYDUSLIFE.NS,active,
